USER,TOURNAMENT,PICK,EARNINGS
cristalblanco (3),Arnold Palmer Invitational presented by Mastercard,T. Fleetwood,56000
cristalblanco (3),Cognizant Classic,S. Lowry,726400
cristalblanco (3),The Genesis Invitational,R. McIlroy,1800000
cristalblanco (3),AT&T Pebble Beach Pro-Am,J. Rose,78375
cristalblanco (3),WM Phoenix Open,C. Gotterup,1728000
cristalblanco (3),Masters Tournament,M. Fitzpatrick,350000
cristalblanco (3),Valero Texas Open,J. Spieth,21364
cristalblanco (3),Texas Children's Houston Open,M. Woo Lee,584100
cristalblanco (3),Valspar Championship,J. Thomas,51142
DB730 (1),The Players Championship,C. Young,5000000
DB730 (1),Arnold Palmer Invitational presented by Mastercard,R. McIlroy,0
DB730 (1),Cognizant Classic,A. Rai,77600
DB730 (1),The Genesis Invitational,H. Matsuyama,136500
DB730 (1),AT&T Pebble Beach Pro-Am,V. Hovland,39750
DB730 (1),WM Phoenix Open,M. McNealy,188000
DB730 (1),Masters Tournament,J. Rahm,112500
DB730 (1),Valero Texas Open,R. Fowler,-50000
DB730 (1),Texas Children's Houston Open,J. Knapp,322988
DB730 (1),Valspar Championship,B. Koepka,108290
dixie (1),The Players Championship,L. Aberg,1027778
dixie (1),Arnold Palmer Invitational presented by Mastercard,K. Kitayama,261000
dixie (1),Cognizant Classic,N. Echavarria,1728000
dixie (1),The Genesis Invitational,C. Morikawa,603200
dixie (1),AT&T Pebble Beach Pro-Am,S. Scheffler,877500
dixie (1),WM Phoenix Open,C. Gotterup,1728000
dixie (1),Masters Tournament,J. Rahm,112500
dixie (1),Valero Texas Open,R. Hisatsune,296450
dixie (1),Texas Children's Houston Open,M. Thorbjornsen,170775
dixie (1),Valspar Championship,J. Thomas,51142
DKDKDKDK (1),The Players Championship,L. Aberg,1027778
DKDKDKDK (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
DKDKDKDK (1),Cognizant Classic,N. Hojgaard,324000
DKDKDKDK (1),The Genesis Invitational,T. Fleetwood,603200
DKDKDKDK (1),AT&T Pebble Beach Pro-Am,V. Hovland,39750
DKDKDKDK (1),WM Phoenix Open,C. Gotterup,1728000
DKDKDKDK (1),Masters Tournament,J. Rahm,112500
DKDKDKDK (1),Valero Texas Open,S. Straka,-50000
DKDKDKDK (1),Texas Children's Houston Open,J. Knapp,322988
DKDKDKDK (1),Valspar Championship,J. Bridgeman,161525
driveroffthedeck (1),The Players Championship,C. Morikawa,0
driveroffthedeck (1),Arnold Palmer Invitational presented by Mastercard,T. Fleetwood,56000
driveroffthedeck (1),Cognizant Classic,S. Lowry,726400
driveroffthedeck (1),The Genesis Invitational,X. Schauffele,603200
driveroffthedeck (1),AT&T Pebble Beach Pro-Am,V. Hovland,39750
driveroffthedeck (1),WM Phoenix Open,S. Woo Kim,439680
driveroffthedeck (1),Masters Tournament,S. Scheffler,2700000
driveroffthedeck (1),Valero Texas Open,S. Straka,-50000
driveroffthedeck (1),Texas Children's Houston Open,N. Hojgaard,1079100
driveroffthedeck (1),Valspar Championship,J. Bridgeman,161525
fishbeinb (1),The Players Championship,T. Fleetwood,812500
fishbeinb (1),Arnold Palmer Invitational presented by Mastercard,M. Fitzpatrick,78000
fishbeinb (1),Cognizant Classic,S. Lowry,726400
fishbeinb (1),The Genesis Invitational,R. McIlroy,1800000
fishbeinb (1),AT&T Pebble Beach Pro-Am,X. Schauffele,235000
fishbeinb (1),WM Phoenix Open,C. Morikawa,22272
fishbeinb (1),Masters Tournament,C. Young,1200000
fishbeinb (1),Valero Texas Open,R. Fowler,-50000
fishbeinb (1),Texas Children's Houston Open,C. Gotterup,322988
fishbeinb (1),Valspar Championship,J. Thomas,51142
fishbeinb (4),The Players Championship,C. Morikawa,0
fishbeinb (4),Arnold Palmer Invitational presented by Mastercard,S. Scheffler,157000
fishbeinb (4),Cognizant Classic,R. Gerard,77600
fishbeinb (4),The Genesis Invitational,H. Matsuyama,136500
fishbeinb (4),AT&T Pebble Beach Pro-Am,M. McNealy,125200
fishbeinb (4),WM Phoenix Open,C. Gotterup,1728000
fishbeinb (4),Masters Tournament,J. Rahm,112500
fishbeinb (4),Valero Texas Open,J. Spaun,1764000
fishbeinb (4),Texas Children's Houston Open,M. Woo Lee,584100
fishbeinb (4),Valspar Championship,J. Bridgeman,161525
